Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	4105	0.160	0.020	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
97	49	1	-1	35953.333117	46.614120	77.983284	0.892915	0.892915	0.000000	0.970937	-1.000000	-1.000000	0.000000
99	50	1	-1	36321.438737	46.608177	78.117363	0.959167	0.959167	0.000000	0.963255	-1.000000	-1.000000	0.000000
101	51	1	-1	33421.660842	46.639328	78.091797	0.916392	0.916392	0.000000	0.970534	-1.000000	-1.000000	0.000000
103	52	1	-1	34883.820325	46.696838	78.030807	0.921332	0.921332	0.000000	0.972831	-1.000000	-1.000000	0.000000
105	53	1	-1	35198.933535	46.589451	78.036469	0.888302	0.888302	0.000000	0.971378	-1.000000	-1.000000	0.000000
107	54	1	-1	41245.402966	46.676037	78.061035	0.943547	0.943547	0.000000	0.962426	-1.000000	-1.000000	0.000000
109	55	1	-1	42543.254414	46.729782	78.172562	0.972022	0.972022	0.000000	0.967702	-1.000000	-1.000000	0.000000
111	56	1	-1	35128.571430	46.657135	78.026527	0.908733	0.908733	0.000000	0.961671	-1.000000	-1.000000	0.000000
113	57	1	-1	36697.645709	46.652683	78.012329	0.876750	0.876750	0.000000	0.978872	-1.000000	-1.000000	0.000000
115	58	1	-1	40115.900897	46.643272	78.102654	0.923112	0.923112	0.000000	0.974482	-1.000000	-1.000000	0.000000
117	59	1	-1	40963.062009	46.578182	78.019020	0.984365	0.984365	0.000000	0.964056	-1.000000	-1.000000	0.000000
119	60	1	-1	35774.780526	46.590935	78.009872	0.914723	0.914723	0.000000	0.955718	-1.000000	-1.000000	0.000000
121	61	1	-1	37230.213887	46.613094	78.020935	0.899131	0.899131	0.000000	0.974847	-1.000000	-1.000000	0.000000
123	62	1	-1	34013.643140	46.678513	78.043930	0.892485	0.892485	0.000000	0.973214	-1.000000	-1.000000	0.000000
125	63	1	-1	36140.216466	46.685745	78.202980	0.937986	0.937986	0.000000	0.972085	-1.000000	-1.000000	0.000000
127	64	1	-1	40685.506343	46.587234	78.050636	0.948705	0.948705	0.000000	0.971753	-1.000000	-1.000000	0.000000
129	65	1	-1	37391.764806	46.635971	78.037766	0.922139	0.922139	0.000000	0.960484	-1.000000	-1.000000	0.000000
131	66	1	-1	36643.901707	46.566895	77.978722	0.930398	0.930398	0.000000	0.975595	-1.000000	-1.000000	0.000000
133	67	1	-1	37514.618939	46.633472	78.098633	0.891027	0.891027	0.000000	0.962083	-1.000000	-1.000000	0.000000
135	68	1	-1	38312.257802	46.625172	78.079552	0.936367	0.936367	0.000000	0.976455	-1.000000	-1.000000	0.000000
137	69	1	-1	36994.157997	46.698669	78.082047	0.934906	0.934906	0.000000	0.967931	-1.000000	-1.000000	0.000000
139	70	1	-1	37593.214714	46.620884	78.068008	0.944081	0.944081	0.000000	0.964225	-1.000000	-1.000000	0.000000
141	71	1	-1	35132.212469	46.652569	78.056572	0.890402	0.890402	0.000000	0.963033	-1.000000	-1.000000	0.000000
143	72	1	-1	36924.416748	46.567516	77.977242	0.866086	0.866086	0.000000	0.978776	-1.000000	-1.000000	0.000000
145	73	1	-1	39823.627050	46.683365	78.154892	0.942380	0.942380	0.000000	0.960944	-1.000000	-1.000000	0.000000
147	74	1	-1	38877.090476	46.631329	78.168755	0.968539	0.968539	0.000000	0.973477	-1.000000	-1.000000	0.000000
149	75	1	-1	37920.533765	46.528469	78.095833	0.878624	0.878624	0.000000	0.957571	-1.000000	-1.000000	0.000000
151	76	1	-1	36630.429956	46.637936	78.166656	0.856493	0.856493	0.000000	0.964717	-1.000000	-1.000000	0.000000
