"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1,1,511.39407,36485.1383,169.06501,60.38009,8.42166,1.94852,1780.31775,59.71758
2,1,3389.15004,19575.47236,148.49549,60.81504,9.14304,2.24698,2091.89899,53.11297
3,1,6806.34933,9488.18937,178.2471,75.31552,10.87016,2.92538,2806.95851,69.78165
4,1,8131.27665,23847.92149,154.37185,184.07569,10.8184,2.35039,1567.93459,25.36183
5,1,9778.01369,28276.60586,166.17077,333.4786,11.95643,3.1419,2629.56596,20.71701
6,1,10961.68098,27188.60168,161.26487,59.12648,11.26331,2.65716,2593.89817,68.2704
7,1,12179.06922,19927.93457,151.59408,73.6714,11.32765,2.57381,2360.24572,50.9052
8,1,12629.40139,12202.07406,142.91991,55.05749,11.15519,2.92747,3009.08867,63.97242
9,1,13068.86005,6581.02971,86.66597,38.27327,10.67418,2.60612,2764.26218,39.04346
11,1,17093.04912,3168.3538,182.75041,108.7309,11.07754,2.38297,2001.14921,47.45317
12,1,19782.39427,6663.46034,132.06699,58.91745,10.62495,2.35072,2083.8826,47.10393
13,1,23018.44194,20732.97247,138.90941,50.64816,9.96249,2.09704,1734.11057,53.48204
14,1,24580.72715,8412.17369,145.13115,88.07701,11.79361,3.38242,3254.70809,48.79991
15,1,28413.22997,32133.65611,144.23767,55.47136,9.39068,2.40245,2252.26164,56.86933
16,1,28555.03943,763.16349,181.00176,77.72566,11.22389,2.38142,1808.85885,60.92606
18,1,30399.2376,32608.01607,166.27125,293.21642,10.20449,3.00995,2366.36985,22.30612
19,1,34999.31709,18190.24818,142.41323,72.33075,9.86463,2.30188,2065.44164,44.32035
20,1,35067.50433,21650.54513,118.10237,40.09385,10.21935,2.60744,2576.28974,57.72401
21,1,35373.33218,19587.20648,154.00139,81.73211,10.18891,2.48894,2219.4426,47.11344
22,1,35543.01495,13580.51508,94.11166,35.58172,9.70815,2.37395,2303.72562,43.75122
23,1,38306.04139,15769.17329,144.94726,54.8889,9.8984,2.42369,2633.61881,58.0805
24,1,38555.15617,2380.16623,185.96814,148.06129,11.04702,2.82147,2326.48993,42.07206
26,2,3328.67789,10435.12114,193.36584,67.53683,10.13352,2.47033,2098.96068,77.70471
27,2,8123.0246,23856.03925,157.92952,199.85965,10.6523,2.34741,2081.72695,24.67461
28,2,9773.78093,28295.7977,186.4955,345.63635,11.24146,3.28279,2453.205,24.09518
29,2,12169.43643,20007.66536,136.01195,96.04983,11.18566,2.99399,3281.2753,38.43027
32,2,13924.28669,16633.79413,133.17438,58.69477,10.85463,2.50828,2632.70265,49.5799
34,2,19496.83123,3294.31864,190.48667,76.71037,10.49283,2.44566,2102.64021,67.80739
36,2,21733.16185,17398.88849,118.31692,51.81458,10.63897,2.23974,1956.91829,43.42464
37,2,22319.85516,37086.51805,126.04178,52.18203,9.2402,2.42121,3011.64483,49.21595
38,2,24648.82897,8460.09498,135.31997,75.44166,10.58992,2.62986,2307.0707,42.83474
39,2,28392.67572,32078.78906,147.55329,87.93542,9.69861,2.24098,2121.73061,39.68804
40,2,30382.73533,32583.07147,148.05728,252.39777,10.65985,2.81988,2413.04813,20.70135
41,2,31423.98154,3211.93024,155.9423,62.50198,10.83332,2.11699,1437.73523,54.03799
42,2,34949.04041,18187.16753,174.89318,74.28065,10.08894,2.3987,1958.9899,60.2037
43,2,35061.72367,21608.5424,154.18219,69.70494,10.52698,2.42578,2108.83546,52.69294
44,2,35684.81326,13678.41061,168.31051,96.55679,10.02562,2.38997,2247.70389,46.13666
45,2,38518.66631,2451.62268,184.21733,126.97365,11.19197,2.66249,2162.40932,45.26777
46,3,2125.35659,39083.52523,159.56518,65.48079,8.68973,2.55523,2949.71169,60.20628
47,3,8124.48612,23858.36282,154.15587,173.19079,11.88268,3.22056,2774.07397,30.43853
48,3,9752.65013,28264.8033,164.98131,317.55813,11.79025,3.10009,2773.27375,21.12131
49,3,12161.24906,19877.91624,147.25378,84.96272,9.82436,2.46284,2326.68985,42.60308
50,3,13048.79514,6558.29377,147.50519,71.43085,10.58764,2.80353,2612.63306,52.71801
51,3,17073.2874,3121.15311,197.01985,115.30995,11.49734,2.81267,2281.71296,55.99575
52,3,24567.55657,8391.34619,134.63726,84.14444,11.07721,2.95725,2464.0322,41.70245
53,3,28389.80311,32081.83209,144.53758,62.26411,9.79427,2.13371,1619.02383,48.76418
54,3,30399.32277,32595.24392,186.38563,344.76483,9.78408,2.76432,2182.85497,22.43055
55,3,31356.54845,3321.68623,108.85475,48.61835,10.3711,2.91272,2912.83657,46.99093
56,3,34975.38162,18171.45732,166.90581,80.76824,10.01534,2.21181,1865.9419,50.14791
57,3,35117.90225,21570.05422,129.9126,45.30714,9.74127,2.09791,1841.87117,52.97399
58,3,38508.52723,2524.42276,163.32212,121.33961,11.10307,2.35554,2053.5567,36.91671
59,4,2226.87548,39037.55582,132.13139,42.38479,9.992,2.07468,1875.18281,56.80751
60,4,3279.84523,10462.79229,114.18159,66.99611,10.04106,2.55564,2525.28398,36.44374
61,4,8108.38975,23885.95841,190.21457,196.98771,11.62098,3.003,2329.32653,36.09818
62,4,9787.24911,28259.64398,171.37768,326.58384,12.78039,3.35979,2320.17009,22.55925
64,4,13917.28637,16575.28815,197.3735,85.36118,10.03597,2.46269,2088.9263,65.99237
65,4,14852.9194,17910.26183,171.04097,70.2522,9.48671,2.58948,2591.23731,63.84275
66,4,17150.26539,3058.51854,143.39976,122.51572,11.71344,2.06582,1407.46307,29.05701
67,4,24600.46483,8424.98271,177.6935,105.88223,11.57938,2.11757,1270.3721,43.71465
68,4,25287.33423,20250.43074,195.26163,113.76217,9.76966,2.82113,2736.63643,55.93039
70,4,30399.73236,32594.50389,173.53103,354.0159,10.20896,2.82244,2263.90112,20.19172
71,4,30470.95474,22613.43515,174.39872,65.71825,9.3489,2.10772,1897.8157,61.20229
74,4,38539.43638,2470.2511,150.7895,119.7725,11.4246,2.73538,2541.66864,35.85396
75,5,2599.73285,8342.08008,106.94839,40.21554,10.31947,2.3356,2436.74747,46.89754
76,5,8129.61502,23887.05886,175.78627,227.48713,10.49771,2.60199,1772.45722,27.09423
77,5,9770.8863,28259.81079,195.70999,405.40231,10.64316,2.64252,1755.47271,21.04264
78,5,12190.27877,19943.32902,134.09065,81.08123,10.52437,2.45664,2121.47867,38.61515
79,5,13861.58698,16625.49863,136.64324,76.67619,10.75332,2.56781,2308.31672,42.34262
80,5,16314.99119,5945.32323,175.96543,72.18827,10.18075,2.97959,3588.99655,71.75616
82,5,25327.2646,20216.31226,175.39726,360.20547,11.46788,3.04909,2133.32851,20.84738
83,5,28423.83704,32080.25048,140.02354,85.94307,9.18071,2.41429,2044.43053,38.92606
