"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1,1,2979.6804,8844.36538,176.07194,230.71339,10.33586,2.28869,1660.79329,25.5382
4,1,4450.94919,16187.34616,188.23414,64.9238,8.79925,2.29607,2138.40475,73.28601
5,1,5436.11648,4485.50816,175.29658,93.62355,9.42838,2.8508,2287.22508,55.75329
6,1,6198.84984,25333.70362,153.48805,51.82975,8.40639,2.51292,2560.21897,67.93954
8,1,9608.98736,22277.67842,190.81632,95.57438,9.20846,2.19495,1861.86295,53.45267
9,1,10125.05898,14866.67711,195.46408,116.23649,8.89765,2.51716,2356.17385,51.39056
10,1,11669.88774,14174.16365,187.81665,102.15996,9.06245,2.80152,2857.25519,57.19601
12,1,16911.31497,12946.17309,129.74463,101.1958,10.42743,2.93942,2735.72827,34.18756
14,1,18691.32737,9759.9383,161.74651,69.54232,8.94259,2.3422,2285.76906,55.56312
15,1,22875.98754,16249.33615,180.99155,423.87454,11.96521,3.41639,2690.8313,20.31824
17,1,25533.23924,23562.71158,181.01226,165.46664,9.62835,2.59455,2038.7023,35.55316
18,1,26910.1257,1144.46999,101.81538,40.25946,11.10964,2.23347,1661.12345,42.82375
21,1,39282.27474,28746.79568,131.14143,81.34394,9.22708,2.32192,2177.01572,36.34474
22,1,39943.49461,24306.98162,176.17687,62.6364,8.30231,1.9005,1751.14127,60.8483
23,2,1561.92081,40251.77493,98.54205,31.07895,7.24557,2.49901,3303.91241,53.28806
24,2,2976.06129,8862.55016,157.20415,209.91394,11.33298,2.68227,2178.68405,24.98046
25,2,5572.14506,4536.05282,194.95501,101.00535,10.07096,2.39234,2042.87294,55.53445
26,2,5654.61789,37976.53524,146.03985,42.66041,8.38657,1.52802,1245.92379,55.60045
27,2,6774.13511,26133.03503,130.53208,42.86635,7.47082,2.13525,2111.87263,56.23079
29,2,9660.47097,22298.89518,121.05689,48.10795,9.96176,2.53719,2468.94236,50.85665
30,2,10113.68446,14835.15167,173.77702,93.63961,9.03968,2.49419,2362.05394,50.7419
31,2,19260.79583,31563.32517,153.49882,76.26754,9.32012,2.11319,1634.41368,45.33069
32,2,22850.16315,16250.0174,154.31336,395.10111,11.70734,4.06988,3296.81777,18.53884
33,2,24937.9006,30799.86869,102.43685,28.79601,8.73989,1.88917,1369.44539,51.05075
34,2,25533.54349,23595.96497,165.45481,186.42161,9.38726,2.61662,2367.67278,28.83351
