1,735.166,715.578,695.807
2,597.485,623.092,654.512,633.794,622.146,639.015,628.378,583.8
3,4056.12,4070.06,4002.33,4018.02,3977.39,4010.39,4089.63,4075.57,3969.21,4027.41,3999.8,3980.31,4007.73,4030.3,4029.81,3999.85,4013.86,4027.25,4009.88,4007.79,4047.38,3982.94,4004.68,4008.4,4002.66,3999.75,3981.37,3982.08,3975.54,3990.4,3973.52,4012.3,3984.39,3968.02
4,8823.49,8812.19,8795.97,8820.01,8801.44,8802.83,8798.25,8814.5,8771.86
5,3271.47,3319.61,3347.95,3289.59,3312.22,3272.41,3297.53,3307.74,3269.22,3332.78,3328.65,3326.83,3303.39,3303.61,3275.26,3288.77,3291.57,3281.62,3288.56,3233.21,3251.4,3290.77,3265.27,3285.79,3270.26,3249.17
6,2639.58,2664.15,2613.68,2656.44,2624.29,2659.94,2644.02,2619.48,2604.94,2643.61,2665.44,2636.56,2667.63,2594.6,2599.03,2632.31,2650.12
7,5918.14,5977.53,5939.57,5919.68,5956.35,5953.09,5954.32,5957.36,5955.1,5930.09,5956.67,5952.69,5932.46,5953.55,5930.16,5908.72,5971.35,5962.23,5898.69,5935.7,5969.48,5910.78,5988.75,5913.55,5911.17,5920.76,5873.23,5913.55,5876.52,5842.03,5894,5912.66,5920.75,5889.7,5874.03,5910.55,5880.45,5883.25,5933.57,5881.18,5895.51,5931.32,5888.77,5889.98,5817.92
8,2909.66,2927.52,2898.76,2892.88,2866.52,2899.1,2837.72,2831.99,2876.29,2836.01,2859.29,2854.07,2838.02,2826.35,2840.06,2859.43,2854.04,2876.39,2853.26,2860.69,2831.11,2851.86,2854.74,2823.23,2823.35,2898.81,2841.78,2871.83,2871.5,2846.1,2843.95,2820.05,2872.59,2849.05,2820.85,2855.62,2860.39,2850.62,2819.5,2836.53,2820.98,2810.09,2819.04,2883.46,2864.71,2822.63,2848.47,2827.42,2848.93,2819.92,2797.81,2859.01,2835.79,2828.55,2883.46,2788.2,2821.3,2871.43,2868.88,2836.06,2753.8,2785.75
9,12172.3,12140.4,12078.2,12037.7,12077.7,12076.7,12105.8,12123.5,12113.2
10,632.777,658.284,661.292,681.37,604.424,675.583,618.784,664.189,602.711,637.471,612.156,597.817,568.665,645.625,579.511,604.396,624.439,583.8,645.88,584.44,611.374,609.46,581.707,600.121,615.31,537.464,558.375,550.545
11,1182.52,1181.45,1191.82,1152.43,1181.97,1156.73,1192.53,1195.89,1214.55,1213.85,1157.39,1155.34,1185.26,1166,1169.15,1141.28,1178.23,1146,1186.21,1166.2,1201.04,1183.38,1168.98,1126.73
12,2064.67,1984.1,2032.95,1995.75,1971.41,1951.15,2001.13,1994.45,2010.87,2009.47,1954.31,1971.55,1970.23,2028.49,1947.15,2003.87,1942.07,1825.34
13,7048.13,7107.85,7068.12,7051.86,7056.13,7027.42,7047.79,7085.27,7042.96,7051.47,7064.74,7058.87,7025.78,7038.57,7029.02,7047.37,7049.72,7047.15,7049.17,7040.7,7001.03,7100.62,6973.29,7038.03,7033.02,7025.19,7066.71,7039.61,7034.26,7011.64,7025.34,7049.03,7033.56,7056.67,7047.32,6979.15,7007.35,7020.46,7063.34,7008.63,6979.74,6995.44,7022.22,6998.9,7016.99,6988.86,7004.53,7031.27,7029.91,6997.99,7014.09,7041.29,7015.16,7027.37,7003.93,7032.63,7050.06,7012.82,7025.9,6978.91,7029.59,6996.39,7014.62,6989.26,6998.88,7030.58,6961.91,7017.22
14,2569.44,2569.68,2577.7,2559.37,2547.89,2614.51,2597.13,2595.51,2499.01,2558.54,2493.5,2589.86,2523.39,2543.1,2536.26,2602.03,2556.78,2535.2,2556.15,2522.08,2636.13,2516.09,2569.29,2476.96,2556.89,2542.21,2523.45,2491.47,2495.25,2456.51,2577.1,2529.08,2511.16,2491.07,2533.5,2512.72
15,9533.32,9477.74,9514.22
16,7137.05,7081.32,7121.77,7094.55,7103.4,7115.95,7079.22,7129.16,7134.82,7160.07,7139.57,7109.42,7110.01,7154.04,7144.17,7151.05,7059.44,7086.18,7117.38,7072.29,7113.57,7112.6,7117.71,7130.61,7092.86,7077.47,7036.46,7096.83,7058.41,7059.8,7052.18,7113.63,7087.84,7060.72,7074.74,7060.39,7070.15,7086.77,7073.23,7067.37,7100,7094.44,7058.28,7084.21,7071.97,7067.93,7066.88,7034.27,7066.81,7078.59,7067.08,7066.68,7047.09,7063.84,7086.68,7069.79
17,4547.03,4527.12,4520.18,4527.91,4549.26,4534.52,4527.48,4538.12,4519.99,4503.51,4522.29
18,2461.82,2447.52,2468,2420.73,2492.36,2436.16
19,1046.41,981.691,995.572,970.91,958.597,946.058,949.982,965.444,933.148,977.061,905.821,905.805,850.24,921.776
20,12323.5,12341.5,12336.4,12311.9,12324.8,12314.2,12319.4,12325.7,12353.9,12311.9,12340.7,12399.5,12302.1,12317.6,12322.7,12353.8
