1,0
2,1,10,21,4386,4590,4631,4633
3,2,48727,48750,48754,48783,48834,48847,48861,48878,48883,48928,48945,48960,48987,48999,49015
4,3,18,31,41,64,84,56594,56629,56637,56664,56674,56780,63693
5,4,26,40,50,75
6,5,57,62,39466
7,6,17,33,45,59,85,98,143,178,40140,40205,40238,40264,40304,40324,40444,40499,40524,40556,65793,65798
8,7,19,39,56,51190,51208,51230,51239,51280,51284,51293,51304,51324,51407,51413,51434,51462,51469,51485,51507,63852,63864,63930,63932,63939,63946
9,8,14,34,47,90,103,129,161,179,229
10,9,16,27,43,68,78,106,124
11,11,82,101,126,5207,5271,5300
12,12,23,141,159,167,202,7727,7766,66400,66411,66420,66428
13,13,15,29
14,20,53,60,81,192,210,233,302,316
15,22,28,58,74,22294,22329,22376,22402,22435,22485
16,24,37,42,95,110,193,227,249
17,25,30,48,61
18,32,44,70,79,99,38659,38702,38731,38801,38821,38861
19,35,128,147
20,36,51,63,96,100,121,42090,42113,42146,42150,42172,42188,42232,42236,42261,42286,42309
21,38,49,66,19790,19826,19845,19887,19904,49984,49999,50018,50036,50049,50059,50068,50081,50142,50173,50181,50194,50221,50233,50244,50261
22,46,102,186,212,255,284,347,378,406,502
23,52,67,97,104,131
24,54,87,114,127,195,29386,29424,29468,29503,64529,64534,64541,64554,64558
25,55,73,92,116,145,12327
26,65,80,105,133,187,223,240,322,355,385,419,441,477,513,63895
27,69,83,139,154,169,189,225
28,71,86,115,122,152,180,197,208,242
29,72,94,109
30,76,119,136,149,171
31,77,117,142,151,173
32,88,108
33,89,118,137,144,168,201
34,91,112,120,153,175
35,93,111,138,158,172,182,226,239,265,285,303,328,360,391,461,508,548,590,899,931,944,1015,1044,54993,54999,55007,55016,55018,55028,55036,55052,55057,55070
36,107,218,243,254
37,113,203,224,232,278,295,376,426,444,476,512,862,892,909,974,1202,1266,1308,1342,1369,1404,1464,1529,1553
38,123,183,216,292,320,356,379,516,692,716,773,800,830,889,910,947,981,1022,1060,1115,1373,1425,3429
39,125,148,177,188,206,251,289,299,619,641
40,130,160
41,132,155,176,194,214,250,253,272
42,134,156,166,199,222,234,262,273,310,325,342,374,554,564,600,659,687
43,135,146,162,200,230,237
44,140,157,170,204,228,236,256
45,150,163,191,220,244,283,290
46,164,190,26172,26182,26217,26253,26275,26291
47,165,205,221,304,313,366,415,435,480,521
48,174,241,259,277,307,323,344,380,604,1139,1163,1214,1263,1299,1456,1478,1506,1548,1589,1636,1727,1805
49,181
50,184
51,185,213,309,7991,8006,8051,8075,8134,8139,8247,8354,8412,8456,8522,55726,55734,55762,55771,55774
52,196,280,312,327,359,395,417,448,488,522,556,631,638
53,198,209
54,207,238,263,496,594,603,674,754,822,826,902
55,211,269,301,537,562,621,665,710,712,760,802,832,896,908,950,985,1027,1062,1297,1352,1704,1734,1809,1833,1944,1987,2054,2142,2181,2669,2705
56,215,245,260,281,294
57,217,235,267,282,298,321,335,367,412,443,487,517,545,578,608,666,688,726,784,818,859,1048,1211,1237
58,219,306,319,364,396,62786,62793,62805,62833,62952,62958,63008,63026,63033,63041,63045,63054,63119,63120,63161,63172
59,231,266,286,341,373,555,575,624,653,685,731,904,956,996
60,246,264
61,247,484,505,535,561,634,663,704,740,776,792,888,918,973,1010,1023,1110,1123,1215,1239,1510,1566,1604,1642,1657,1702,1725,1771,1853,1873,1912,1940,2084,2118
62,248,268,333,334,456,463,528
63,252,271,297,331,384,398,436,472,494,557
