1,3478.48
2,4328.07,10150.8,8122.74,5304.4,3168.13,4392.82,4440.39
3,4969.94,5045.25,10143.2,1850.32,8335.82,7925.88,9715.62,10079.2,11534.7,3621.77,9446.38,8859.33,9881.33,11283.2,10835.7,9015.95
4,9402.66,9490.78,8879.06,8172.06,7837.91,4773.8,3380.87,2396.4,8538.64,2239.42,3266.47,5837.87,6969.07
5,8634.17,10428.7,10515.6,4316.18,3622.22
6,5317.61,11043.5,7518.43,3350.99
7,4397.32,11827.3,11806.8,11357.7,11169.7,10280.7,11493.1,13018.2,2996.9,6243.48,3754.73,10613.8,6171.92,11471,8162.62,2930.39,4897.46,9501.13,5621.92,3476.53,9326.56
8,9376.6,8757.44,11080.3,8310.79,9974.17,10207.3,9913.33,8016.04,11230.1,10449.1,10181.3,8550.81,7011.01,3443.77,10394.5,9704.24,10749.5,7650.6,4932.16,10228.7,5294.06,9648.95,9801.42,9081.41,9616.09,10303.8
9,11537.6,4527.89,5633.92,1342.71,6933.95,6571.99,7393.98,10192.8,1833.44,8158.64
10,7779.92,10858.7,13109.1,12922.2,11204,10458.8,10174,4552.14
11,8147.65,9430.71,9651.56,5268.44,4684.37,9363.7,3459.82
12,7295.74,3103.31,10618.8,11542.6,11371.6,3910.15,6718.97,10904.3,11550.5,11430.7,10935.5,9299.45
13,5445.12,10330.2,4745.22
14,7322.41,9072.18,8054.95,4258.41,8497.24,9079.78,2998.38,10117.1,3139.87
15,12580,11842.3,11188.6,9830.39,4879.7,10723.2,5610.43,11184.4,12659.8,5046.4
16,6641.28,11704.7,8573.14,8850.29,7402.33,9269.79,10366,10729.2
17,2174.91,8998.96,8497.25,8110.95
18,7528.12,7652.79,9954.46,6180.17,8777.76,7188.82,9437.49,3186.15,9133.61,9440.36,9812.74
19,13269.8,8641.42,9092.53
20,9470.42,8895.42,9235.38,9229.99,9995.25,8436.93,4361.95,9372.44,9665.75,9192.37,9514.83,8381.8,10367.5,9778.94,6761.21,10324.9,9329.67
21,9632.04,10453.8,10311.3,12003.2,10855.4,10501.5,9867.62,11201,9822.86,12525,11479.3,10759.9,11188.4,5640.79,10167.2,8364.68,7722.4,10588.7,10498,10687.4,10197.3,10509.9,7445.03,3553.97
22,5456.59,4567.19,5692.09,7731.19,4771.83,5017.82,6856.86,8175.93,5380.38,2710.69
23,3573.01,10399.8,11206,9742.9,5370.09
24,9229.58,3579.3,8082.12,2754.6,5211.51,8661.19,9511.33,8172.86,9413.58,8298.25,8828.37,9384.64,9635.21,4037.33
25,8121.89,4891.98,11794.8,6518.63,3524.86,5153.51
26,4072.6,8856.34,10488.6,5724.42,9489.35,11788.5,9382.14,4927.17,8351.5,7953.53,8746.05,10508.3,6455.03,3334.26,3181.58
27,10482,5068.27,11691.6,8646.81,3782.26,10926.7,5917.67
28,10738.4,11181.9,3604.39,10931.3,10599.8,11960.6,10543.6,11497.4,13308.2
29,9048.15,10429.7,12811.1
30,10180.7,11137.1,9775.17,10816.7,8285.43
31,6039.69,13505.2,10309.2,11020.7,6466.45
32,4276.26,3714.13
33,5837.23,11216.6,11032.2,11080.9,11008.2,4689.34
34,8950.13,10981.3,6539.87,5528.4,9516.01
35,10448.2,15605.1,12239.6,20782.4,17605.7,24045.1,25179.8,18656.9,17118.6,9334.68,10733.8,8336.84,8981.27,9824.83,4549.11,3625.29,3357.94,8661,10437.6,9239.55,10188.5,9049.96,9430.77,10089.2,9728.89,10705.7,6793.55,3545.4,9863.72,9182.16,10840.4,10670.8,8172.88
36,2694.31,12334.1,10357.2,9985.85
37,9122.63,3291.11,11725.9,10506.4,4056.71,9082.49,4088.15,11807.1,9523.87,11302,2802.18,4966.36,10891.9,9117.06,12466.9,5760.06,11129.2,10346.7,8138.5,11131.9,8650.95,8857.82,2983.03,11128.1
38,8039.18,4134.02,3837.59,9213.69,10573.8,9618.89,5879.93,5456.61,3947.01,9029.98,8468.63,9309.42,10128.9,8655.33,8467.22,7577.12,9004.5,7759.55,9963.54,4497.83,7072.36,8082.74,4256.33
39,6006.12,8180.53,6927.07,8301.74,8399.57,4830.31,10020,7477.3,8773.92,7064.68
40,7717.74,8392.75
41,12560.8,11490.1,12190.7,10871.6,12298.6,10831.9,13035.6,11367.4
42,7597.9,8648.72,8984.64,7121.73,8814.59,7210.01,9811.13,4675.58,6045.84,9391.63,9292.67,6814.32,6084.43,8333.51,8147.17,8523.96,1926.77
43,5462.19,10526.6,9907.33,11876.2,10333.6,9738.32
44,10351.2,10961.7,11002.1,10702.5,6801.19,9863.53,8849.01
45,3047.6,11419.8,10300.8,3014.23,12273.5,3165.75,12138.2
46,3149,5630.2,7907.41,8527.8,11071.9,10105.4,9394.16,10033.5
47,5629.87,10230.7,10081.6,10000.4,10395.1,6604.73,11023.2,9980.11,10588.4,8546.58
