Width	Height	nb_Planes	nb_Tracks	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	1	0.160	0.050	X Y sigma	False
Track	Plane	CentroidX(px)	CentroidY(px)	CentroidZ(um)	Integrated_Intensity
 1	 1	 196.272835731506	 213.828667640686	 0	 30973.42578125
 1	 2	 196.25816488266	 213.849654197693	 0	 33010.859375
 1	 3	 196.206617832184	 213.93981552124	 0	 30898.03125
 1	 4	 196.230718612671	 213.957656860352	 0	 31468.6484375
 1	 5	 196.211473464966	 213.917436122894	 0	 31055.845703125
 1	 6	 196.229327201843	 213.92778968811	 0	 30568.74609375
 1	 7	 196.227927207947	 213.894243240356	 0	 31143.533203125
 1	 8	 196.201507091522	 213.888822078705	 0	 30976.6328125
 1	 9	 196.220189094543	 213.993947982788	 0	 33056.625
 1	 10	 196.183312416077	 213.973578453064	 0	 33795.625
 1	 11	 196.228341579437	 213.845576286316	 0	 31504.623046875
 1	 12	 196.185467720032	 213.971704959869	 0	 32870.88671875
 1	 13	 196.167329788208	 213.985287666321	 0	 32184.08203125
 1	 14	 196.162247657776	 213.947410583496	 0	 31781.60546875
 1	 15	 196.19070148468	 213.945463657379	 0	 33887.3671875
 1	 16	 196.22780418396	 213.842555999756	 0	 33138.9375
 1	 17	 196.171813011169	 213.884833335876	 0	 31513.9375
 1	 18	 196.24254322052	 213.926075935364	 0	 33449.96484375
 1	 19	 196.216542243958	 213.925840377808	 0	 32291.337890625
 1	 20	 196.197350502014	 213.971967697144	 0	 30694.328125
 1	 21	 196.149567604065	 213.998221874237	 0	 33204.48828125
 1	 22	 196.217788696289	 213.930290222168	 0	 32818.23828125
 1	 23	 196.19084405899	 213.93772983551	 0	 31881.447265625
 1	 24	 196.207841873169	 213.956875801086	 0	 32626.046875
 1	 25	 196.25329875946	 214.052384376526	 0	 31426.37109375
 1	 26	 196.203742027283	 213.960905075073	 0	 31229.078125
 1	 27	 196.188798904419	 213.999070644379	 0	 32474.203125
 1	 28	 196.252912521362	 213.922826290131	 0	 31713.892578125
 1	 29	 196.201465606689	 213.989395618439	 0	 33000.2890625
 1	 30	 196.178172111511	 213.920196056366	 0	 31760.296875
 1	 31	 196.262160301208	 213.905282974243	 0	 31490.22265625
 1	 32	 196.237835407257	 213.906264305115	 0	 31852.1015625
 1	 33	 196.235227108002	 213.918959617615	 0	 31906.302734375
 1	 34	 196.254477500916	 213.939407348633	 0	 33291.0390625
