density,frame,intensity,sigmaXY,x,y,
0.00121701,455,6198.85,0.946862,7109.19,26686.9,
0.00788537,456,7640.59,1.12832,7153.14,26688.9,
0.00863603,458,4413.22,0.687757,7123.35,26690.8,
1.22865e-05,459,6812.09,1.15589,7201.14,26625.7,
2.58165e-05,460,8155.02,1.2152,7200.27,26771.7,
0.00649593,461,6309.74,1.01271,7175.95,26671.1,
0.00992479,462,4712.64,1.00475,7120.21,26707.7,
0.0160287,473,5650.93,0.879518,7161.52,26695.9,
0.00498669,474,5006.59,0.961982,7123.13,26678.7,
0.0049037,475,5127.63,0.966189,7160.6,26754.8,
0.0126403,476,4903.14,0.786708,7184.51,26717,
0.0111905,477,5545.24,0.932459,7190.12,26738.4,
0.0134801,486,5909.69,1.00634,7174.79,26727.9,
7.40349e-05,487,5780.79,1.0942,7216.67,26751.9,
0.0165162,488,5094.61,0.855803,7152,26727.1,
0.0163933,489,7990.62,1.26313,7195.58,26730.2,
0.0238044,490,3516.22,0.801282,7148.36,26712.3,
0.022561,504,6317.49,0.989702,7185.58,26693,
0.00277097,505,10450,1.36558,7208.7,26669.3,
0.0214011,506,6684.05,0.974917,7147.25,26712.2,
9.74991e-05,507,5248.2,0.905619,7192,26655.3,
0.0135852,508,5386.47,1.2739,7186.19,26702.2,
0.0292942,509,6179.37,0.925822,7178.89,26686.1,
0.000927329,510,4040.42,0.849964,7152.29,26750,
0.00586626,511,6462.32,0.935955,7107.08,26714.8,
0.033435,512,8087.62,1.20475,7181.62,26686.8,
9.34187e-05,513,6357.54,1.1412,7229.17,26674.5,
1.10833e-05,514,14879.9,1.69288,7262.73,26653.3,
0.0134753,515,5268.25,0.841598,7155.36,26692.6,
0.00987054,516,6836.63,0.783601,7111.14,26695.4,
0.000431177,517,5203.11,0.965488,7101.68,26714.3,
0.0137955,596,5368.01,0.962003,7181.57,26712.8,
0.00939783,597,6074.88,0.855214,7205.88,26731.3,
