density,frame,intensity,sigmaXY,x,y,
0.00178637,576,4908.54,0.986301,11097.6,16397.7,
0.000401752,577,7556.48,1.02404,11070.2,16454.9,
7.27459e-06,578,5157.15,1.09158,11120.8,16381.6,
0.00352733,579,5759.62,0.929307,11037.2,16375.3,
0.0158726,580,5073.7,0.837007,11038.7,16389.4,
0.00172938,581,6182.03,0.879292,11061.1,16388,
0.00195754,582,7676.23,0.914394,11072.9,16398.4,
5.86727e-06,583,8571.25,1.45436,11046,16325.6,
0.00579979,584,5841.72,0.850364,11055.2,16394.1,
0.0157917,585,7053.36,0.756933,11035.8,16407.7,
0.00458262,586,7469.63,0.93942,11055.8,16456.8,
2.64566e-05,587,4135.13,0.861761,11040.9,16509.8,
0.0084071,588,9023.99,1.39617,11067.6,16423,
0.0105195,589,6845.7,1.15875,11023.1,16436.6,
0.00988488,590,5543.2,0.941555,11002.1,16428.3,
0.0151973,608,7509.47,0.935703,11034.2,16397.8,
0.00101799,609,5789.75,1.00511,10968.4,16383.9,
0.0172492,610,7292.42,0.96421,11032.1,16404.4,
0.0101639,611,4865.91,1.28924,11042.9,16417.1,
0.00851683,612,3798.95,0.94907,10977.7,16440.3,
0.00880748,613,6988.78,0.944122,11051.9,16398,
0.00544219,614,6008.11,0.714115,11037.9,16451.7,
0.0112324,615,7231.29,0.975652,11021.1,16399.2,
0.00937598,616,5895.3,0.853491,11037.2,16442.4,
1.46717e-05,617,4140.27,0.739567,11106.8,16455.2,
0.0160915,618,9463.12,1.34242,11034.3,16391.4,
0.00913571,620,6136.12,0.959411,11007.5,16445.9,
0.00356186,621,4158.02,0.696188,11065.6,16436.4,
0.00896724,622,5297.34,0.775263,11066,16427.5,
0.01689,623,4495.17,0.972582,11039.5,16398.2,
0.00565506,624,8776.79,1.17676,11043.3,16387.1,
0.00722061,625,8849.83,0.884284,10992.4,16414.1,
0.0111051,626,7231.05,1.06593,10990.9,16428,
2.82088e-05,628,7188.89,0.969239,11098.6,16392,
0.000300823,629,4464.63,0.674426,11003.3,16351.4,
0.0192393,630,7675.26,1.20957,11041.1,16432.3,
0.00988205,631,4118.01,0.760948,11009.9,16430.6,
0.0060042,632,7073.89,0.90089,11002.8,16413.4,
0.00495801,633,8754.06,0.993138,11042.8,16455.6,
0.00870257,634,5777.39,0.855684,11035.1,16386,
0.0043043,720,3587.34,0.936969,11024.8,16471.9,
0.00855038,721,9086.97,1.16547,11057.5,16430.8,
0.00852142,722,4797.11,0.842827,11047.4,16438,
0.0043939,723,6441.21,1.00354,11073,16413.8,
0.0107541,724,7293.01,1.13698,11026.8,16418.9,
0.00504128,725,3519.11,0.579983,11006.2,16384.2,
0.00965747,726,6980.54,0.891223,11052.8,16419.2,
0.0162709,727,7685.68,0.864999,11034.4,16436.1,
0.00637677,730,4904.43,0.928363,11058.6,16410.8,
0.00115169,731,5576.07,0.799232,11059.2,16456.9,
0.0235717,732,5556.24,0.944413,11039.4,16430.8,
0.00285243,733,6631.55,1.06923,11003.4,16373.4,
0.0067497,734,3449.61,0.808071,10971.2,16414,
0.015465,735,8579.86,1.24648,11028.8,16433.2,
0.0100548,736,5693.44,0.889618,11041.5,16411.6,
0.0121961,737,7184.02,0.92564,11046.4,16397.6,
0.00937191,738,6102.85,0.901456,11025.4,16412.5,
0.00931647,739,6582.33,0.896606,10981.6,16413.7,
0.00574056,740,8208.49,0.950189,11003.5,16389.7,
0.00388925,741,4944,0.858866,11033.1,16472.1,
5.56813e-05,742,6293.93,0.975899,10954.4,16378.7,
0.00355168,743,9955.14,1.20861,11015.6,16481.6,
7.19623e-06,744,3445.75,0.696838,11123.5,16436.1,
1.38876e-05,745,4191.2,0.815494,11077.1,16369.9,
0.00607377,746,7499.99,1.03447,11049.9,16454.4,
1.15081e-05,747,3366.36,0.699159,11009.4,16344.9,
0.00447806,797,3539.01,0.765775,10974.7,16479.5,
0.0115391,798,6769.31,0.939882,10984.5,16430.6,
0.011458,799,4948.8,0.746145,11015.3,16400.9,
0.0117376,800,6271.2,1.12442,11040.4,16428.9,
0.0180111,801,7068.05,1.09671,11039.4,16435.1,
0.00976951,840,3806.01,0.935977,11009.9,16427.3,
0.00779784,842,4692.07,1.0222,11020.2,16439,
0.00893922,843,3154.29,0.586427,11002.5,16426.6,
0.0109895,845,3850.61,0.695756,10994.1,16429.7,
0.00144092,846,3097.27,0.821754,11047.4,16377.2,
0.00730096,847,5296.81,0.918452,11010.2,16404.8,
0.0134213,848,7552.61,1.28109,10935.8,16459.2,
0.00330664,849,5849.7,1.34692,11072,16432,
0.0160556,850,4720.78,0.916284,11028.6,16408.5,
5.0274e-05,851,3293.14,0.815622,11084.7,16447.8,
0.0234856,853,11839.4,1.83243,11037.5,16434.5,
0.0120746,856,5060.02,1.02726,11042.3,16431.7,
0.00342174,857,4794.13,1.18647,10974.6,16401.8,
0.00856466,866,2010.08,0.507409,11014.2,16396.6,
0.000991895,868,4122.64,0.772456,11032.3,16492.5,
0.0130004,1029,4277.33,0.831514,10982.8,16429.4,
0.00751203,1031,3278.14,0.84396,10950.6,16490.8,
0.0013851,1033,5927.45,1.06969,11002.7,16372.3,
0.00608079,1035,4261.48,1.21908,10980.6,16409.2,
0.0121287,1036,6128.7,0.993965,11029.7,16417.2,
0.00486876,1037,2533.02,0.716693,11014.3,16469.4,
0.00166546,1038,6020.84,1.14387,11022.5,16489.2,
0.00642004,1040,3952.79,0.736082,11016.1,16386.7,
2.35231e-05,1044,2995.21,0.708072,11031.8,16351.4,
0.00536926,1046,4128.58,0.802094,10976.3,16403.1,
0.00766476,1049,3888.34,1.01784,11029.8,16389,
0.00382017,1051,4573.23,0.947714,10929.8,16429.5,
0.000940224,1052,1741.01,0.41797,10940.9,16420.3,
0.0057356,1053,5744.71,1.10548,11070.9,16429,
0.00915949,1054,5860.17,1.28353,11017.6,16436.4,
0.00385178,1083,3982.59,0.978096,11029.9,16481.4,
1.95719e-05,1088,2848.78,0.538282,11115,16413.1,
0.00239811,1185,5509.39,0.910178,11083.7,16414.3,
3.84709e-05,1246,5599.62,1.31342,10960.8,16521.8,
0.0083242,1347,6315.38,1.29192,10994.4,16459.1,
0.00243255,1644,3594.35,0.861931,10887.1,16491.1,
0.00185044,1645,3297.14,0.788516,10961.9,16510.8,
0.00171616,1685,2769.37,0.558524,10956,16517,
0.00591655,1717,7156.89,0.885538,10957.5,16435.2,
0.00722882,1718,8257.6,1.01735,11007.4,16448.4,
0.00120978,1719,13402.1,1.54089,10955.8,16520.7,
0.00738704,1720,4351.71,0.676501,10980.6,16445.6,
2.24668e-05,1721,4580.28,1.14216,10921.7,16563.2,
0.00907409,1739,6716.86,0.955638,10952.5,16448.9,
4.08167e-05,1740,4263.02,0.69554,10915.6,16383.1,
0.00851277,1741,4079.52,0.64911,10955.3,16460.1,
0.00779513,1742,3821.52,0.787754,10947.6,16478.8,
0.0125284,1743,4823.94,0.874793,10986.9,16426,
0.007824,1744,7700.85,0.925402,10948.4,16448.7,
0.00765211,1745,6466.48,0.908866,10973.6,16461.1,
0.00821474,1746,7205.74,1.06927,10988.9,16466.2,
0.0093251,1747,7540.56,0.971134,10953.5,16486.3,
0.00463161,1748,7006.1,1.03889,10987.2,16474.4,
0.00371359,1749,8655.56,1.04827,10894.4,16492.9,
0.00702524,1750,8260.79,0.981776,10918,16483.5,
0.00855052,1751,5977.64,0.812393,10930.9,16437.7,
0.00368473,1752,7487.27,0.898015,10950.4,16501.3,
0.00987992,1753,6461.06,0.831798,10942.7,16469.1,
0.0170202,1754,5597.02,0.649359,10939.6,16467.6,
0.0083168,1755,6033.59,0.834364,10985,16446.7,
0.00743262,1756,6147.37,0.770551,10980.8,16430.3,
0.000511835,1757,4081.45,0.740489,10924.5,16541.7,
0.00774525,1758,7176.21,0.960201,10981.3,16466.3,
0.00477156,1759,6770.96,0.911342,10969.1,16484.7,
0.00506811,1760,7493.8,1.14831,10929.3,16437.3,
0.00871218,1761,6793.58,0.963898,10971.6,16480.1,
0.00847653,1762,4859,0.819872,10951,16476,
0.00796362,1763,3940.91,0.837753,10957,16446.9,
0.0145376,1764,7073.16,0.876356,10924.6,16463.5,
0.0125412,1765,8825.3,1.07853,10928.4,16457.3,
0.0200809,1766,6296.57,1.01878,10931.6,16466.1,
0.00998109,1767,4350.64,0.82562,10936.7,16455,
0.025026,1768,5809.33,0.784169,10928.8,16458.8,
0.00838643,1769,5024.13,0.868493,10971.3,16467.2,
0.00839232,1770,7434.77,0.918519,10940.6,16447.2,
0.00256124,1771,5209.27,0.95218,10925.8,16495.8,
0.0146958,1772,5005.76,0.831536,10933.2,16468.7,
