density,frame,intensity,sigmaXY,x,y,
0.106419,1,7754.21,0.694039,5123,16024.5,
0.548408,2,8353.68,1.05975,5074.47,16048.4,
0.127355,3,9010.7,1.12751,5112.82,16031.3,
0.250116,4,8594.56,0.868334,5092.41,16077.9,
0.450025,5,9713.36,1.00151,5063.49,16043.6,
0.502238,6,6879.4,1.0343,5070.09,16052.1,
0.139912,7,9091.74,0.909616,5076.55,16106.2,
0.143576,8,10193.6,1.2465,5112.87,16096,
0.239818,9,9266.61,1.18057,5109.21,16044.8,
0.359928,10,7239.88,0.729088,5089.17,16034.2,
0.1661,11,7816.22,0.867432,5124,16030.8,
0.13799,12,7364.71,0.945983,5088.42,16021.6,
0.0992328,13,5527.86,0.732053,5110.36,16013.1,
0.0404008,14,7093.7,0.889092,5146.31,16044.1,
0.153641,15,5414.75,0.871802,5126.76,16035.4,
0.474093,16,10764.1,0.947266,5066.45,16029.9,
0.0999891,17,8559.03,0.90797,5045.36,16036.1,
0.000132628,18,9288.61,1.08748,5083.17,15973.8,
0.0480173,19,7497.22,1.10647,5124.13,16021.2,
0.119075,20,4816.25,0.685805,5102.68,16018.4,
0.662733,21,8599.51,1.04722,5078.26,16042.8,
0.322208,22,7790.5,1.00129,5124.32,16033.5,
0.120914,23,9909.33,1.04859,5113.49,16024.6,
0.0681251,24,8178.9,1.05579,5092.57,16006.7,
0.0881257,25,9058.34,0.949555,5104.53,16012.2,
0.220459,26,10824.2,1.04427,5100.35,16040.6,
0.388524,27,5692.5,0.904708,5068.64,16024.3,
0.207739,28,12115.9,1.09747,5105.21,16018.3,
0.164217,29,8645.23,1.0064,5129.47,16061.8,
0.0421209,30,7675.33,0.864429,5136.85,16029,
0.430382,31,5232.91,0.881742,5053.54,16083.5,
0.192975,32,7887.16,0.967146,5092.3,16023.5,
0.100822,33,6511.36,0.752694,5050.22,16023.1,
0.615157,34,8963.43,0.984177,5065.46,16060.3,
0.101269,35,10268.9,0.907729,5085.02,16020.8,
0.24028,36,8508.4,1.05721,5066.69,16021.7,
0.351755,37,5680.71,0.953477,5093.93,16041.6,
0.287987,38,6407.37,0.902187,5106.29,16097.3,
0.181623,39,4313.24,0.585975,5032.46,16052.8,
0.00656679,40,6737.99,0.885088,5171.55,16049.5,
0.501339,41,7361.23,0.845441,5085.16,16047.9,
0.0981561,42,8905.33,0.967734,5104.74,16027.6,
0.00134942,43,8024.75,0.963549,5105.79,15989.4,
0.500056,44,7135.02,1.03849,5080.29,16048.4,
0.0606457,45,5667.08,0.82462,5108.18,16006.5,
0.137635,46,7810.13,0.848823,5121.96,16030.9,
0.245622,47,6943.1,0.833258,5086.13,16030.2,
0.0656341,48,9265.36,0.992241,5129.52,16041.4,
0.303967,49,8555,0.856232,5114.34,16051.1,
0.158669,50,10701.9,1.05425,5121.48,16063.1,
0.266086,51,13041.2,1.35471,5097.61,16024.6,
0.388735,52,8276.9,0.879418,5078.58,16027.9,
0.502055,53,6646.76,1.05224,5094.56,16064.3,
0.142241,54,7187.79,0.90825,5127.26,16079.5,
0.0364006,55,8942.23,1.04392,5112.24,16008.3,
0.221674,56,7513.13,0.925772,5103.57,16034.7,
0.0489253,57,7181.25,0.859534,5133.88,16026.7,
0.31992,58,7365.19,1.00518,5066.45,16099.8,
0.6088,59,8334.35,0.980655,5088.33,16060.3,
0.229514,60,9788.59,1.14771,5051.69,16032.2,
0.0243025,61,8007.54,1.11656,5120.36,16007.2,
0.0758718,62,5137.67,0.647698,5045.91,16105.6,
0.202286,63,7204.99,0.837506,5109.18,16074.7,
0.293884,64,8235.14,1.005,5080.64,16033.2,
0.21075,65,6399.46,0.831341,5109.21,16041.5,
0.386981,66,6448.49,0.80488,5084.57,16041.6,
0.523054,67,9933.07,1.14009,5084.29,16072.4,
0.0475098,68,9727.45,1.12372,5119.32,16012.7,
0.749637,69,8796.96,1.02304,5079.74,16059.6,
0.00122358,70,9979.2,1.3197,5137.53,15997.8,
0.160399,71,9332.81,0.985411,5112.13,16041.3,
0.287483,72,9984.71,1.16623,5123.68,16032.9,
0.909929,73,7427.63,0.883894,5075.45,16058.2,
0.00954927,74,7158.55,0.830244,5123.45,16004.3,
1.167,75,9928.67,1.24832,5076.85,16055.8,
0.0824002,76,8762.58,0.994735,5100.12,16016.1,
0.114807,77,9611.67,1.06467,5124.71,16042.1,
0.567639,78,8271.14,0.934821,5082.8,16070.3,
0.340124,79,7873.4,0.908717,5101.71,16079.1,
0.382569,80,7766.55,0.910273,5071.55,16037.7,
0.530788,81,7333.05,0.897555,5094.22,16047.8,
0.0943743,82,9198.26,1.0152,5079.35,16013.8,
0.149308,83,9986.85,1.10463,5115.5,16038.6,
0.284251,84,8204.87,0.961766,5112.92,16047,
0.190134,85,6748.11,0.876808,5065.09,16030.1,
0.360393,86,9694.63,0.980239,5109.3,16085.5,
0.177613,87,10172.3,1.25611,5075.21,16091.4,
0.0292269,88,5556.55,0.768989,5135.36,16086.4,
0.463466,89,6935.94,0.98717,5070.02,16078.2,
0.375551,90,9677.12,1.03207,5095.88,16044,
0.252184,91,7857.01,0.988512,5119.4,16031.3,
0.00851777,92,8847.4,1.09523,5164.79,16052.4,
0.0754415,93,7300.02,0.848609,5116.19,16014.3,
0.138054,94,6214.9,0.888775,5118.91,16087.1,
0.000806497,95,10231.3,1.05193,5166.69,16027.7,
0.0109144,96,7638.3,1.06936,5161.96,16066.1,
0.498285,97,7362.88,0.91616,5104.56,16056.8,
0.533798,98,8697.4,1.0233,5087.09,16085.2,
0.514117,99,7952.97,0.91044,5092.61,16048.7,
0.438832,100,11199.9,1.0188,5078.38,16071.8,
0.459845,101,10628.1,1.03792,5068.12,16038.9,
0.354526,102,10281,1.11195,5121.48,16033.8,
0.187744,103,9149.61,1.08508,5116.99,16086.3,
0.102422,104,10435.6,1.07401,5068.46,16013.5,
0.405242,105,7771.3,0.782928,5099.76,16067.4,
0.115502,106,9635.49,1.03287,5108.06,16019.8,
0.425121,107,6049.72,0.631863,5092.7,16045.1,
0.527557,108,8013.89,0.996838,5105.98,16047.6,
0.158736,109,9198.06,1.11369,5115.39,16029.8,
0.369209,110,7270.01,0.797035,5106.17,16064.5,
0.622706,111,7419.75,1.0917,5095.95,16072.4,
0.0933957,112,7663.21,0.762141,5128.78,16090.1,
0.125846,113,7026.5,1.01288,5117.14,16071.3,
0.581416,114,6019.47,0.646594,5088.77,16038.9,
0.26839,115,7750,1.12695,5101.16,16038.2,
0.270848,116,10255.4,1.39747,5110.27,16066.4,
0.459291,117,8547.63,1.177,5091.05,16053.5,
0.223662,118,8444.61,0.986551,5114.57,16060.7,
0.0752817,119,5319.18,0.631352,5130.37,16050.6,
0.00493458,120,9299.7,1.02778,5146.34,16032.5,
0.315831,121,7688.12,0.748247,5102.72,16085.8,
0.18141,122,9066.62,0.937083,5117.38,16047.3,
0.38813,123,6111.96,0.873737,5092.4,16066.1,
0.0339533,124,6437.26,0.879051,5087.94,16000.6,
0.0470081,125,7560.32,0.985588,5104.84,16002.2,
0.808978,126,9537.43,1.12404,5098.22,16076.3,
0.19066,127,5731.34,0.871443,5113.24,16087.7,
0.33108,128,9069.49,1.01314,5086.75,16032.4,
0.761922,129,8097.65,1.01383,5093.69,16052.1,
0.0904189,130,9443.46,1.00828,5130.55,16059,
0.0494404,131,8783.5,1.0879,5141.37,16075.7,
0.175235,132,8169.86,0.96532,5110.77,16034.6,
0.36687,133,8617.11,0.976906,5080.81,16034.8,
0.203946,134,9965.65,1.03881,5041.79,16038.5,
0.237312,135,9478.45,1.09484,5073.74,16039.5,
0.081759,137,8710.21,0.978368,5098.03,16015.1,
0.639529,138,4145.13,0.616338,5087.23,16066.8,
0.23478,139,5243.71,0.715743,5124.45,16059.9,
0.466223,140,6616.85,0.898205,5062.93,16067.2,
0.165029,141,7676.44,0.950471,5106.18,16018.8,
