density,frame,intensity,sigmaXY,x,y,
0.00857952,403,6333.07,1.00367,5362,28219.3,
0.0204003,404,5367.12,0.839952,5297.82,28185,
0.000451492,405,2537.49,0.46874,5396.52,28230.9,
0.0132431,406,5812.26,1.03838,5278.16,28193.5,
0.0430577,407,5606.79,0.898619,5331.94,28166.6,
0.0143988,408,7363.54,1.17163,5290.66,28202.1,
0.00338706,409,7057.92,1.14953,5293.4,28271.6,
0.0135575,410,4463.86,0.86057,5277.31,28182.7,
0.00182563,412,4817.36,0.898125,5378.41,28204.9,
0.0109361,413,5786.19,1.52591,5265.72,28206.1,
0.0173826,414,10502.6,1.22493,5297.81,28235.2,
0.0186683,415,4819.41,1.28776,5341.36,28174.7,
0.029814,416,10213.8,1.39284,5326.31,28189.6,
0.00462385,417,6376.85,1.29043,5269.78,28133.4,
0.0200909,418,8571.49,1.33593,5291.99,28177.4,
0.0217949,419,8249.03,1.07648,5311.78,28220.2,
0.0105455,420,5658.52,1.01358,5366.38,28185.4,
0.0142695,421,4371.47,0.756731,5294.63,28158.8,
0.0063503,422,4550.55,0.78882,5330.56,28244.2,
0.00451412,423,4856.01,0.771253,5252.61,28165.4,
0.0178819,424,10203.1,1.31054,5308.62,28238.6,
0.0136361,425,5332.49,1.14559,5279.5,28214.9,
0.0589054,426,7841.59,1.09231,5322.3,28201.2,
0.0057125,427,4833.77,0.981818,5289.57,28133.8,
0.00199363,428,5111.32,1.03496,5344.67,28257.8,
0.0235897,429,7504.61,0.900764,5339.95,28191.5,
0.0201256,431,7622.15,1.1336,5307.67,28184.7,
0.00697915,432,3747.67,0.813774,5345.76,28236.3,
0.0214315,433,5303.92,0.85141,5307.03,28217.3,
0.0109717,434,5173.09,0.832848,5347.53,28225.3,
0.0127649,461,6456.46,0.967723,5357.4,28197.8,
0.000157686,462,6411,1.37845,5258.11,28122.9,
0.000693032,463,6087.79,1.40323,5230.87,28232.1,
0.0408348,464,7686.98,1.11921,5310.6,28202.5,
0.0167399,465,4949.2,0.851735,5302.33,28188.5,
0.0345325,466,3271.47,0.565909,5315.63,28230.3,
0.0198913,467,3877.92,0.658802,5289.03,28190.2,
0.00421043,468,3458.82,0.660465,5366.83,28228.4,
0.0212921,469,6728.66,1.20151,5348.01,28186.3,
0.026803,470,3332.76,0.628477,5332.93,28210,
0.0092534,471,2177.74,0.589894,5267.72,28219.7,
0.0225545,472,4952.83,0.88438,5342.26,28180,
0.0198871,473,4950.03,1.0463,5331.49,28232.1,
0.0107564,474,5533.99,1.13626,5363.44,28211.9,
