"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
74,2,26969.63669,10655.58911,135.2623,39.97458,9.95624,2.27651,1939.60432,65.05677
75,2,27817.14785,6793.34607,138.25337,145.50949,9.53266,2.25398,1905.34241,25.44301
76,2,28165.52897,7975.33146,121.16818,42.27292,9.6452,2.33863,2117.22631,53.79586
77,2,28502.57334,28648.2989,143.66965,58.67229,7.59812,1.77538,1724.39282,46.1519
78,2,30063.14194,4122.00398,121.2361,38.70843,9.2685,2.40854,2459.19239,58.77
79,2,30458.96679,12114.1773,157.76736,55.10818,8.20992,2.22651,2224.19154,62.50115
80,2,30684.46945,859.20102,129.47572,52.95268,8.98735,2.2203,1935.57351,48.21009
81,2,30641.90778,33127.10306,107.57679,31.84249,8.14449,2.02524,1988.95643,52.39224
82,2,31222.18455,9909.75475,109.25869,40.13123,8.72078,2.53385,2853.58214,50.67276
83,2,32542.36717,8693.25259,139.27955,43.09754,8.6203,2.10134,1804.19411,60.9822
84,2,33540.40829,2445.06848,121.95876,50.17172,9.1962,2.27077,2424.55833,46.74871
85,2,33833.77716,23257.24998,155.10004,60.92138,7.91488,1.93428,1742.28257,52.10743
86,2,34285.70126,18273.93293,138.65384,124.0559,8.8719,2.53121,2426.11387,29.97204
87,2,34522.88572,16790.54565,169.36192,289.41788,8.7344,3.14856,3052.77377,23.53052
88,2,34512.11789,20022.03769,126.44911,41.06279,8.60196,2.4509,2773.86042,60.26261
89,2,35576.06449,21657.87347,147.41849,55.93876,8.31402,2.37743,2770.1152,57.99841
90,2,36019.26898,18010.98425,133.36377,44.11326,8.28418,2.38205,2658.3255,60.4895
91,2,36364.38316,829.57235,122.04356,127.14351,9.67182,2.1952,1736.76263,23.59935
92,2,36425.38183,39229.32449,86.79698,29.5575,7.87127,1.76161,1593.50708,39.25365
93,2,36721.82021,9313.77642,86.78277,36.15574,8.63721,2.22422,2264.88419,37.68555
94,2,37027.65706,31195.04621,108.4802,64.88793,9.94336,2.13926,1778.8891,32.12598
95,2,37628.18823,7466.33864,117.21688,49.68296,8.57439,2.20116,1984.53828,43.86323
96,2,38417.89997,5423.4709,137.33366,87.5062,9.96382,2.70574,2368.08199,39.62891
97,2,39357.61575,13814.51549,116.37858,52.69546,8.53871,2.67537,3068.844,46.12469
98,2,39317.73047,22781.26399,148.02025,64.79046,8.08859,1.87974,1769.0943,45.92758
99,3,703.97131,19652.20078,154.57354,81.84326,8.70408,2.18367,1909.00094,44.14002
101,3,2055.27497,5011.63322,94.07358,34.33804,9.74971,1.85562,1437.35306,39.81158
102,3,2479.24019,34976.46977,148.08064,54.58276,7.51997,2.00011,2100.42242,53.95855
103,3,2594.39774,16214.7587,129.61109,63.74783,8.48917,2.41514,2688.3434,43.80107
104,3,2938.24692,37555.52852,169.80356,57.02216,7.88852,2.35333,2471.27681,70.45616
105,3,3112.4464,32621.04824,105.02597,35.46617,7.56758,1.859,1830.02958,44.80728
106,3,4705.88391,38028.60247,145.3382,71.7225,8.3045,2.37079,2415.04114,46.65306
107,3,5747.28011,2275.08646,104.43936,50.89769,9.59602,2.91151,3137.78199,42.7298
108,3,8986.71161,5874.34146,95.21695,34.8887,9.07238,2.22786,2020.83965,43.62318
109,3,9082.57866,27171.28888,179.53186,59.91838,7.29432,1.98127,1975.19723,66.36196
110,3,9688.44134,36807.19109,151.48848,71.76594,8.1936,2.49475,2848.69254,50.98349
111,3,12575.30856,39415.71101,133.28093,44.94482,7.50476,1.99578,1861.81531,53.8092
112,3,13510.52276,7690.17673,140.26011,296.14271,10.42143,3.03432,2725.77445,17.78219
113,3,14467.74765,16462.5924,172.47345,133.65094,8.46141,2.33431,2491.89131,36.95425
115,3,15315.33742,36300.72933,175.34425,145.98843,7.69244,2.05955,1884.97246,33.53575
116,3,15524.32952,897.55714,127.12275,59.41987,9.22001,2.39255,2501.39018,44.75455
117,3,15687.97224,11320.05875,139.45212,85.83881,9.85474,2.08277,1767.47467,36.13656
118,3,16235.00855,6027.78263,138.55893,72.33477,9.11414,2.93292,3853.36395,48.82741
119,3,17008.03742,15073.10868,105.43699,77.21468,9.26407,2.61674,2967.14049,29.86038
120,3,20065.36961,9811.03234,120.99631,52.43193,9.3883,2.42407,2288.9177,46.29573
121,3,22321.14663,31754.51414,142.89466,247.47192,8.82181,2.70573,2239.5233,19.742
122,3,22623.87519,6788.58486,158.3521,103.7314,8.619,2.45417,2401.5215,40.54694
123,3,22797.95637,13000.54574,96.16119,39.83691,9.09209,2.0854,2059.54311,38.74472
124,3,23544.67947,17834.13211,145.11285,62.95144,8.19996,2.91892,3209.2511,58.4845
125,3,24803.00907,23552.88387,152.89963,53.19884,7.93288,1.82975,1694.04874,54.97872
126,3,24917.01098,3496.94334,124.30027,78.33192,9.24847,2.38201,2614.4991,35.1714
127,3,24924.47922,9674.41783,172.47243,59.25248,8.01811,2.04548,1870.15538,64.19387
128,3,25455.49438,38503.2412,168.89868,64.85755,7.53137,1.92348,1893.49069,56.0319
129,3,26120.0608,9147.61229,194.1787,73.19555,9.31013,2.28115,1697.99187,69.47241
131,3,26937.83877,10708.07762,110.89939,71.69291,8.80492,2.6493,3160.95208,33.9079
132,3,27546.4869,23305.75466,123.03442,42.88705,7.94256,2.06385,1929.60862,50.7248
133,3,27842.11356,6778.88859,125.32495,113.06716,10.09278,2.6474,2292.7525,28.55925
134,3,28113.79803,8072.79433,112.48877,38.06345,9.53916,2.16066,1839.59958,50.2901
135,3,30737.19266,913.12381,126.82333,59.49604,9.39149,2.35413,2361.34083,44.18051
136,3,34488.16935,16808.08283,165.46532,266.62595,9.52366,2.54238,1741.88646,22.16494
137,3,34564.99972,19938.2186,57.31163,28.54674,8.62483,2.28245,2483.31533,28.25239
138,3,37000.90736,31203.53471,155.11411,89.3862,8.74053,2.64802,2545.41243,45.97318
139,3,37612.89492,7548.13484,92.45349,41.73098,9.19453,2.47019,2681.31968,38.65383
140,3,37889.25033,13477.75252,163.5452,57.01775,7.7722,1.98107,1960.85761,59.99919
141,3,38418.33876,5406.8079,131.75554,66.83993,9.64648,2.33688,2115.27086,42.49574
142,4,690.12208,19645.37988,135.93816,133.53703,8.50925,2.65083,3044.29374,28.24699
143,4,937.97846,17209.08106,128.34748,51.80616,8.19284,1.99958,1972.2809,45.87849
144,4,2627.32247,16173.64226,199.27251,89.05405,7.87312,2.49361,2503.90125,65.23059
145,4,2891.51361,15585.54336,137.7778,46.23961,9.76815,2.55025,2525.73824,63.81168
147,4,4730.08292,38023.8883,104.95282,34.96061,7.48455,1.92302,2009.70002,45.988
148,4,5694.95672,2326.78889,117.37123,67.86907,8.68226,2.0581,1910.07653,33.87153
149,4,9925.36987,38220.88041,147.03072,52.06246,7.49771,2.22659,2397.25736,58.84077
150,4,10264.37545,10234.65058,152.41309,54.4121,9.19417,2.7998,3139.258,69.34663
152,4,11769.00225,18722.37241,96.78982,50.33622,8.26237,2.2437,2151.6774,34.06116
153,4,13274.13111,15081.37546,95.26302,44.1056,8.56015,2.52456,2763.21711,38.98018
154,4,13529.44416,7707.23254,149.64143,230.10322,9.87028,4.12648,3534.69805,26.75066
155,4,15314.97035,36320.87511,122.68359,196.4886,9.09412,2.50335,2243.23215,18.55241
156,4,15491.60132,863.48349,84.70365,48.12631,9.64532,2.5849,2323.77756,31.80467
157,4,15561.15722,11313.1931,154.23361,60.20469,8.78183,2.02687,1864.3753,53.45827
158,4,16168.47943,5994.59945,121.69782,65.63141,10.05379,2.6256,2546.36624,40.98948
159,4,16980.26385,15062.83104,136.42277,55.51152,8.63648,2.46042,2458.87222,53.07611
161,4,20045.20093,9747.21861,179.09467,90.64361,9.17373,2.16612,1598.35631,50.32375
162,4,20311.64353,1933.68956,180.08591,104.89217,9.02846,2.46045,2635.51071,48.59399
163,4,22340.80775,31758.31048,155.87459,266.3651,9.14661,2.54992,2212.44439,20.55204
164,4,24855.67683,3560.0222,145.06947,130.34904,9.26625,2.74,2668.73931,31.90168
165,4,25531.47356,38532.28991,125.36111,39.44121,7.59476,2.35003,3172.46005,59.90192
166,4,27869.95306,6824.29651,139.66638,240.80335,10.29267,2.55611,2158.10158,19.15253
167,4,28104.23683,7981.39955,178.89803,75.18585,8.72778,2.26917,2071.72582,59.69935
168,4,30660.78902,837.12161,144.95444,54.28289,9.42913,2.25941,1968.23712,56.21863
169,4,30750.96167,18693.6948,118.2264,42.45536,8.21282,2.29562,2433.5267,51.22308
171,4,32585.18416,8729.96027,102.32548,54.42066,8.85774,2.05797,2207.52193,33.26258
172,4,33540.08559,2438.15958,115.78555,71.66608,8.6756,2.17878,2338.73842,32.80154
173,4,34508.33514,16787.76225,152.20643,256.19763,9.85988,2.70694,2175.66174,20.9144
174,4,36740.59497,9325.50812,135.06864,73.34078,8.51944,2.19072,1967.33351,39.73312
175,4,36637.46144,39393.96467,194.85581,88.38121,7.10124,1.96868,1951.67584,55.20782
176,4,37511.0337,31371.68344,110.9461,58.19171,7.89497,1.89531,1560.95256,33.95457
177,4,38471.93061,5419.39251,126.34802,106.56051,8.95349,2.7975,2870.85913,30.93205
178,5,780.03611,21594.29166,117.02073,62.94503,7.6773,2.3851,2416.1049,38.14486
179,5,1774.11765,15549.74098,104.21634,36.18466,8.18005,2.22675,2582.38198,47.85414
181,5,2838.61952,15640.35553,166.45369,80.31853,8.90492,2.35379,2188.61483,51.92435
183,5,8292.66975,5072.45553,129.52772,39.01779,8.56021,1.89044,1645.03729,55.95124
185,5,9591.26649,36733.26796,129.18816,78.8247,7.28232,2.40043,2757.39695,37.03193
186,5,11770.35426,18715.8969,121.64287,115.26761,9.3442,3.16706,2734.11829,29.43749
187,5,13503.39987,7701.31883,140.7728,236.17342,9.34082,2.73175,2747.70554,20.0641
188,5,15339.16469,36322.33874,147.80211,213.73069,8.56441,2.42209,2026.19159,21.88399
189,5,15596.36809,900.16207,145.48963,80.33759,8.95267,2.43418,2733.49302,43.43443
190,5,15639.69748,11261.9361,107.89159,78.74106,9.04157,2.38382,2254.9872,29.10345
191,5,16193.69337,5994.21522,136.94333,61.5676,9.36552,2.32112,2235.40769,47.62602
192,5,17026.63334,15015.34372,118.1444,59.92748,9.17347,2.04419,1682.54032,37.24891
193,5,19165.16701,38688.79216,126.06922,54.56544,7.44782,2.24247,2628.34311,45.62111
194,5,20105.52012,9733.50141,139.93254,76.48429,9.27459,2.40246,2081.34066,42.36462
195,5,20319.57439,1947.93338,145.26756,95.3934,9.1647,2.48203,2886.50481,38.43032
196,5,22312.9598,31757.97675,147.8163,265.29131,8.90826,2.20236,1673.34647,18.38638
197,5,22641.06932,6664.21858,125.23174,43.38765,9.03831,2.36836,2445.25392,55.68214
198,5,22640.56352,12940.62024,135.84685,36.02292,9.29993,1.75662,1225.49203,61.19853
200,5,24803.83976,3516.43547,125.44849,125.49419,9.86669,2.36439,2319.08399,25.33911
201,5,26114.75947,9163.82784,187.41814,65.17223,8.36531,2.59694,2798.59893,78.77454
202,5,26965.13326,10788.37808,172.01844,93.1153,8.25462,2.53778,3040.39861,50.69784
203,5,27861.59299,6823.61452,139.98173,133.78126,9.19213,1.75423,1209.85186,25.08167
204,5,28208.30775,8069.4295,102.82714,40.67764,10.00395,2.58492,2232.6462,46.591
205,5,28645.32638,4001.71826,157.45811,66.54235,8.12832,2.46866,2578.94328,57.01668
206,5,30653.90496,887.92213,113.32506,61.55475,9.64242,2.30128,2523.99778,36.50866
207,5,32652.79305,8749.98697,117.39846,48.63873,8.43095,1.72144,1350.1373,39.81919
208,5,33335.88962,30961.31135,77.3392,32.81766,7.82403,2.07043,1851.4486,34.04263
209,5,33603.3759,2454.33272,13.17122,26.60577,9.79535,2.23138,2201.96787,13.47515
210,5,34491.88995,16797.16723,151.08304,267.45228,9.86956,2.59122,2113.69747,19.80486
211,5,36520.61459,39226.31835,93.54216,36.29889,7.63332,1.85175,1745.16923,37.94888
212,5,36787.68631,9298.36293,128.85014,46.71022,8.0867,2.25171,2779.0446,53.17424
213,5,36712.85459,13663.96832,136.82669,41.00085,9.57713,2.24679,1996.55889,64.32384
214,5,37941.26953,13490.69456,80.22091,51.83442,8.6677,2.08343,2007.328,25.83028
215,5,39318.87861,13739.27388,111.77425,49.70215,8.19395,2.53763,3435.49791,44.27986
217,6,2809.44789,15512.24179,178.26121,71.75514,8.10188,2.72544,2958.22465,69.26384
218,6,2920.19629,37599.7709,126.50111,109.70971,7.76572,2.53325,2273.7593,28.98057
219,6,7745.82073,13111.19181,142.07759,56.36449,8.21743,2.48723,2836.33981,56.04952
220,6,8914.35925,37498.82869,175.82883,68.69453,6.84609,2.12655,2196.1787,60.1402
221,6,11745.23434,18785.52831,135.56655,67.64896,8.52555,2.00574,1742.09688,40.65081
222,6,13510.59888,7701.65137,149.8495,313.99505,10.35449,3.51794,3711.42177,19.72209
223,6,14553.21208,18579.51296,132.0724,37.45263,7.79936,2.60364,3296.1522,72.19974
224,6,15304.80908,36322.58606,136.44134,220.99555,7.96755,2.57222,2305.53229,19.74515
225,6,15546.36249,923.72321,122.48725,60.07581,9.24021,2.1662,1920.02947,40.08528
226,6,15697.26978,11257.65982,99.98537,46.45861,9.17816,2.71832,3364.06544,41.57439
227,6,17068.47374,15073.81522,192.47296,110.99558,7.95691,2.36945,2316.61641,50.29512
228,6,19135.05271,38739.59292,135.66091,43.28805,8.1167,2.42342,3007.90821,63.68933
229,6,20105.27763,9765.46979,119.69015,61.81325,8.55298,2.00553,2028.23392,36.74024
230,6,20313.89312,1909.81046,119.29958,82.29022,9.36945,2.03027,1810.75188,30.02904
231,6,22307.95567,31747.5562,148.28677,283.49082,8.12734,2.95446,2740.26447,19.48783
233,6,24483.17505,4543.21264,168.20052,66.09612,8.43943,2.53653,3076.30159,64.52638
234,6,24864.50005,3540.1222,158.06034,111.11671,9.01889,2.59194,2694.72296,39.48389
235,6,25538.78854,38527.1142,85.53814,39.51541,7.15434,1.65606,1600.98642,30.76696
236,6,25844.73179,20992.43201,199.44809,68.03272,7.31039,2.14119,2321.87779,73.89868
237,6,26122.15021,9125.08012,74.72925,30.06913,9.27217,1.94074,1674.51577,33.87214
238,6,26943.94588,10699.31001,121.96407,65.59282,9.98974,2.14564,1648.98639,37.19425
239,6,33561.98551,2465.20718,124.916,46.71751,9.52694,2.051,1839.8295,48.3836
240,6,34515.2528,16815.29451,154.97595,245.98676,9.48184,3.78463,2629.3705,25.55109
241,6,34880.05112,30863.28581,179.89681,58.91141,6.85143,2.20723,2357.37141,72.06954
242,6,36683.20092,9411.78466,123.80379,44.08548,8.89203,1.87444,1496.55529,47.71162
243,6,38349.85603,5407.379,131.25239,54.21183,8.57993,2.46697,2292.65753,51.18575
244,6,39336.99336,13773.69172,168.98856,128.16219,7.21622,1.81189,1549.18564,33.21115
245,7,2939.18255,15589.00248,154.47921,74.93207,8.42747,2.29401,2316.92171,48.40294
246,7,8243.91549,9023.47716,157.80031,64.47243,8.14836,2.48029,2686.28612,58.8447
247,7,11115.15986,13379.77953,141.42143,44.41825,7.50016,1.858,1640.43915,56.87421
248,7,11206.19134,31469.60291,126.39923,68.99976,8.62876,2.12882,2278.6003,37.46514
249,7,13526.66772,7696.55556,155.03965,289.06095,9.73972,3.04716,2863.17092,20.62603
250,7,15349.20684,36343.08786,163.36878,178.39101,8.89916,2.50128,2263.96019,28.67932
251,7,15513.24532,873.66174,122.02195,45.65923,9.9248,2.1542,1736.45102,48.89439
252,7,15583.60892,11295.96985,134.92285,58.66548,9.20534,2.20843,2185.14166,47.11661
253,7,17018.34665,15050.96708,101.3557,53.87552,8.87784,2.18241,2131.91676,33.95627
254,7,17408.04137,22820.29099,76.28713,32.58693,8.14182,2.10146,2461.76457,33.89298
255,7,19106.06068,38659.50949,126.23822,53.70795,7.05219,1.86178,2031.25844,42.22291
256,7,20091.50461,9748.11273,118.49893,62.50063,9.54138,2.08642,1815.5022,36.60906
257,7,20299.90867,1952.97132,122.28961,50.57169,9.55352,2.42376,2299.67365,48.3329
258,7,22315.74366,31766.4448,177.13394,293.12469,7.83498,2.44965,1553.29878,22.40267
259,7,24770.27506,3586.22722,146.16651,60.73895,8.85738,2.44349,2660.51498,54.50728
260,7,25757.61332,10816.18754,126.60994,51.27605,8.83295,1.85464,1599.13989,43.77067
261,7,26920.6769,10751.2801,146.99775,53.95364,9.24871,2.38699,2187.50972,59.59044
262,7,27596.27542,23295.23294,137.5921,47.69634,8.63682,2.02091,1821.5239,54.15822
263,7,28250.90434,32045.34564,163.5343,77.04613,7.9733,2.14672,2059.39545,49.6701
265,7,33568.23256,2375.09519,109.73975,59.42143,9.35275,2.2863,2234.44044,35.79753
266,7,34514.42243,16783.05609,147.03487,233.41271,9.56365,3.66972,4053.55733,24.30087
267,7,36713.64156,9360.52702,122.65481,109.94985,9.41607,2.26684,1888.89338,26.55028
268,7,36729.39991,13627.88076,110.27819,34.04697,9.18244,2.1106,1898.23633,52.64984
269,7,38382.54119,5276.43293,148.85575,79.64565,8.60528,2.61642,2674.31685,47.03629
270,7,39209.62551,16940.26711,125.29487,39.9795,7.96205,1.819,1699.43681,51.40822
271,7,39328.37232,13811.8101,161.77746,89.2587,8.31175,2.22181,2348.89169,44.51339
272,7,39965.50667,6748.62111,92.64907,43.67102,8.87198,2.3632,2549.15449,36.64318
273,8,747.43158,19630.20983,151.45111,46.32992,8.71067,2.04413,1806.24797,64.15789
274,8,2267.3545,5149.50485,153.66809,64.00865,9.00413,2.19031,1894.2675,52.90431
275,8,2532.69685,8550.65319,155.07934,52.91707,7.72794,2.1629,2958.59206,61.8315
277,8,5901.77048,37968.01103,127.72896,57.65734,6.70768,2.06977,2168.51734,42.79983
278,8,7740.38223,13099.87932,112.52246,33.31115,8.65549,2.2312,1874.28411,56.84697
279,8,7858.53941,18930.44627,11.06902,34.4474,7.74259,3.00749,3925.89024,12.19267
280,8,7988.55996,16275.30518,115.60212,36.56055,8.32423,2.57173,2795.7146,59.77663
281,8,11251.79032,31465.55546,154.37054,284.41527,8.96986,3.08906,2598.96133,20.85577
282,8,15219.49568,20331.06677,168.36588,94.13658,7.86623,2.29274,2490.10675,46.03355
283,8,15333.13672,36308.5597,143.2135,207.88398,8.3097,2.12439,2126.4074,20.50804
285,8,15655.2567,11176.27398,86.75814,42.01937,8.62867,2.2828,2047.80342,34.14717
286,8,15801.23277,12352.33436,144.51686,49.44983,9.04689,2.14191,2224.60869,58.41127
287,8,17012.01397,15072.28245,112.36521,49.73087,8.57747,1.93304,1805.59277,38.93261
288,8,17345.29911,22892.37517,107.33021,42.51089,8.12573,2.35093,2428.56621,45.31462
289,8,19117.0149,38601.80571,117.79092,39.45967,7.77261,1.91419,1713.4656,48.93778
291,8,20322.4078,1876.14622,122.65041,57.38269,8.77083,2.02163,1989.3706,40.20174
292,8,21505.71438,24686.83165,162.82165,57.3656,6.64516,1.84609,1871.25179,57.0965
293,8,22318.61861,31751.63181,146.58443,253.1398,8.33007,3.12462,2755.82718,21.23332
295,8,24836.86466,3534.21929,139.27378,120.04996,9.00235,3.3291,3545.04377,35.46675
296,8,26867.08267,10689.10199,97.56053,41.69036,8.53297,2.09107,2147.47391,38.22104
297,8,32336.03466,29381.47908,99.33786,37.88563,7.6066,2.05543,2214.17308,41.63722
299,8,34505.64238,16782.71393,161.91655,275.46344,9.26942,3.41446,3082.86073,23.7718
300,8,35478.66748,2575.01152,135.34095,39.2248,8.71615,2.4455,2801.97474,69.2006
301,8,35449.71349,27561.62617,116.32864,43.50686,7.99045,2.05055,1972.54349,46.28268
302,8,36681.45105,9302.30961,172.82816,57.61975,8.65279,2.59358,2775.45677,76.62148
303,8,37967.00921,13440.93582,134.17163,44.48096,8.03739,2.36967,2702.25919,60.43689
304,8,38407.81439,5373.55313,135.23505,67.87717,9.93472,2.33758,2268.29646,43.57709
305,8,39289.47238,13850.12597,178.95397,67.6482,8.66226,2.27549,2017.66457,65.11751
306,8,40134.37589,6354.85238,175.95515,63.42153,9.76334,2.04165,1839.2048,62.62876
307,9,2238.53851,5216.10398,163.67823,86.22398,8.40587,2.42347,2483.27167,48.70686
308,9,2468.67695,8547.71909,118.31134,47.01826,8.23208,2.63862,2603.93953,51.27692
310,9,5280.70883,4385.27014,191.95428,96.00138,7.53621,2.13301,1796.01099,52.90331
311,9,5871.44005,37910.95643,124.86594,69.12228,7.52557,2.05995,2145.33544,36.27077
312,9,6262.89249,20211.44999,195.08548,69.38392,6.63911,1.84659,2201.95487,64.39373
313,9,9149.10395,27235.13862,141.57423,46.4973,7.9597,1.77702,1593.95869,53.76365
314,9,9599.91836,2433.33035,126.36028,90.38625,9.99443,2.38332,1977.50541,32.39355
315,9,9991.44445,38289.61717,157.49624,51.64229,7.44334,2.33041,2680.30599,67.56747
316,9,11255.14657,31472.71266,151.06892,341.27487,9.23784,2.40978,2166.48189,16.47311
318,9,15506.46805,891.34263,183.44653,99.95409,8.26223,2.40033,2325.29453,51.16012
319,9,15408.69832,36396.62684,133.11815,72.86144,8.60627,2.61493,2571.71064,42.84717
320,9,17044.48462,15093.72309,132.60512,64.83405,8.27575,2.3862,2650.85398,44.37223
321,9,17406.65761,22818.55926,154.09843,146.62507,6.8399,2.29598,2059.58659,29.39116
322,9,19146.29135,38686.14889,98.36155,31.21568,7.52746,1.77421,1802.49329,44.23139
323,9,20098.38351,9775.24136,137.10279,68.51657,9.22359,2.39209,2239.28695,44.65653
