Width	Height	nb_Planes	nb_Tracks	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	1	0.160	0.050	X Y sigma	False
Track	Plane	CentroidX(px)	CentroidY(px)	CentroidZ(um)	Integrated_Intensity
 1	 1	 40.4473743438721	 226.675847053528	 0	 17375.390625
 1	 2	 40.4010353088379	 226.623246192932	 0	 17551.4140625
 1	 3	 40.4321646690369	 226.645331859589	 0	 16236.8505859375
 1	 4	 40.3477578163147	 226.706450462341	 0	 17351.955078125
 1	 5	 40.4675226211548	 226.701026916504	 0	 16458.734375
 1	 6	 40.3683929443359	 226.730702400208	 0	 17153.359375
 1	 7	 40.4531497955322	 226.620628356934	 0	 15170.3525390625
 1	 8	 40.4801607131958	 226.615249156952	 0	 16709.52734375
 1	 9	 40.4217081069946	 226.669354438782	 0	 15918.1640625
 1	 10	 40.3828563690186	 226.61497592926	 0	 16857.828125
 1	 11	 40.5792398452759	 226.683059215546	 0	 15964
 1	 12	 40.4196968078613	 226.687452793121	 0	 16866.021484375
 1	 13	 40.4408655166626	 226.627298355103	 0	 16806.75390625
 1	 14	 40.4480257034302	 226.540563583374	 0	 17523.5625
 1	 15	 40.5263590812683	 226.706912994385	 0	 15677.5625
 1	 16	 40.4770488739014	 226.766426563263	 0	 18725.634765625
 1	 17	 40.4468479156494	 226.690210342407	 0	 16615.4140625
 1	 18	 40.3563394546509	 226.521263122559	 0	 16986.2578125
 1	 19	 40.4717469215393	 226.724420547485	 0	 16874.60546875
 1	 20	 40.4911165237427	 226.530839920044	 0	 17863.91796875
 1	 21	 40.5578751564026	 226.622802734375	 0	 16049.490234375
 1	 22	 40.5290246009827	 226.714884757996	 0	 17901.1484375
 1	 23	 40.5268650054932	 226.580028533936	 0	 16642.5546875
 1	 24	 40.3829660415649	 226.696126937866	 0	 18284.875
 1	 25	 40.4610738754272	 226.553314208984	 0	 15711.98828125
 1	 26	 40.4519939422607	 226.586792945862	 0	 17727.736328125
 1	 27	 40.4073119163513	 226.593199729919	 0	 15540.3388671875
 1	 28	 40.4596643447876	 226.731963157654	 0	 17218.251953125
 1	 29	 40.4251546859741	 226.502188205719	 0	 16356.583984375
 1	 30	 40.4880313873291	 226.647740364075	 0	 16672.24609375
 1	 31	 40.3634080886841	 226.606263160706	 0	 16532.52734375
